"premier league 2019-2020; until covid suspesion; matches";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.flashscore.nl/voetbal/engeland/premier-league-2019-2020/uitslagen/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Code3;Team;R.1;R.2;R.3;R.4;R.5;R.6;R.7;R.8;R.9;R.10;R.11;R.12;R.13;R.14;R.15;R.16;R.17;R.18;R.19;R.20;R.21;R.22;R.23;R.24;R.25;R.26;R.27;R.28;R.29
1;ARS;Arsenal;13a3;5h3;10a0;17h1;18a1;2h3;12a1;4h3;15a0;7h1;20h1;9a0;16h1;14a1;3h0;19a3;11h0;8a1;4a1;6h0;12h3;7a1;15h1;6a1;5a1;13h3;8h3;11ax;19h3
2;AVL;Aston Villa;17a0;4h0;8h3;7a0;19h1;1a0;5h1;14a3;3h3;11a0;10h0;20a0;13h3;12a1;6a0;9h0;15a0;16h0;14h3;18a0;5a3;11h0;3a1;18h3;4a0;17h0;16a0;15hx;9a0
3;BHA;Brighton;18a3;19h1;16h0;11a0;5h1;13a1;6a0;17h3;2a0;8h3;14h3;12a0;9h0;10a0;1a3;20h1;7a1;15h0;17a0;4h3;6h1;8a0;2h1;4a0;19a1;18h1;15a1;7h0;20a1
4;BOU;AFC Bournemouth;15h1;2a3;11h0;9a0;8h3;16a3;19h1;1a0;14h1;18a1;12h3;13a0;20h0;17a0;7a0;10h0;6a3;5h0;1h1;3a0;19a0;18h0;14a0;3h3;2h3;15a0;5a0;6h1;10a0
5;BUR;Burnley;16h3;1a0;20a1;10h0;3a1;14h3;2a1;8h3;9a0;6h0;15a0;19h3;18a3;7h0;11h0;17a0;13h3;4a3;8a0;12h0;2h0;6a0;9h3;12a3;1h1;16a3;4h3;13a1;17h1
6;CHE;Chelsea;12a0;9h1;14a3;15h1;20a3;10h0;3h3;16a3;13h3;5a3;18a3;7h3;11a0;19h0;2h3;8a0;4h0;17a3;16h0;1a3;3a1;5h3;13a0;1h1;9a1;12h0;17h3;4a1;8h3
7;CRY;Crystal Palace;8h1;15a0;12a3;2h3;17a0;20h1;14h3;19a3;11h0;1a1;9h0;6a0;10h0;5a3;4h3;18a1;3h1;13a0;19h3;16a1;14a1;1h1;11a1;16h0;15h0;8a0;13h3;3a3;18h3
8;EVE;Everton;7a1;18h3;2a0;20h3;4a0;15h0;11h0;5a0;19h3;3a0;17h1;16a3;14h0;9a0;10a0;6h3;12a1;1h1;5h3;13a3;11a0;3h3;19a1;13h1;18a3;7h3;1a0;12h1;6a0
9;LEI;Leicester City;20h1;6a1;15a3;4h3;12a0;17h3;13h3;10a0;5h3;16a3;7a3;1h3;3a3;8h3;18h3;2a3;14h1;11a0;10h0;19a3;13a3;16h0;5a0;19h3;6h1;20a1;11h0;14a0;2h3
10;LIV;Liverpool;14h3;16a3;1h3;5a3;13h3;6a3;15a3;9h3;12a1;17h3;2a3;11h3;7a3;3h3;8h3;4a3;18h3;19a3;9a3;20h3;15h3;17a3;12h3;20a3;16h3;14a3;19h3;;4h3
11;MCI;Manchester City;19a3;17h1;4a3;3h3;14a0;18h3;8a3;20h0;7a3;2h3;16h3;10a0;6h3;13a1;5a3;12h0;1a3;9h3;20a0;15h3;8h3;2a3;7h1;15a3;17a0;19h3;9a3;1hx;12a0
12;MUN;Manchester United;6h3;20a1;7h0;16a1;9h3;19a0;1h1;13a0;10h1;14a3;4a0;3h3;15a1;2h1;17h3;11a3;8h1;18a0;13h3;5a3;1a0;14h3;10a0;5h0;20h1;6a3;18h3;8a1;11h3
13;NEW;Newcastle United;1h0;14a0;17a3;18h1;10a0;3h1;9a0;12h3;6a0;20h1;19a3;4h3;2a0;11h1;15a3;16h3;5a0;7h3;12a0;8h0;9h0;20a1;6h3;8a1;14h1;1a0;7a0;5h1;16a3
14;NOR;Norwich City FC;10a0;13h3;6h0;19a0;11h3;5a0;7a0;2h0;4a1;12h0;3a0;18h0;8a3;1h1;16a0;15h0;9a1;20h0;2a0;17h1;7h1;12a0;4h3;17a0;13a1;10h0;20a0;9h3;15a0
15;SHU;Sheffield United;4a1;7h3;9h0;6a1;16h0;8a3;10h0;18a1;1h3;19a1;5h3;17a1;12h1;20a1;13h0;14a3;2h3;3a3;18h1;11a0;10a0;19h3;1a1;11h0;7a3;4h3;3h1;2ax;14h3
16;SOU;Southampton;5a0;10h0;3a3;12h1;15a3;4h0;17a0;6h0;20a1;9h0;11a0;8h0;1a1;18h3;14h3;13a0;19h0;2a3;6a3;7h1;17h3;9a3;20h0;7a3;10a0;5h0;2h3;19a0;13h0
17;TOT;Tottenham Hotspur;2h3;11a1;13h0;1a1;7h3;9a0;16h3;3a0;18h1;10a0;8a1;15h1;19a3;4h3;12a0;5h3;20a3;6h0;3h3;14a1;16a0;10h0;18a1;14h3;11h3;2a3;6a0;20h0;5a1
18;WAT;Watford;3h0;8a0;19h0;13a1;1h1;11a0;20a0;15h1;17a1;4h1;6h0;14a3;5h0;16a0;9a0;7h1;10a0;12h3;15a1;2h3;20h3;4a3;17h1;2a0;8h0;3a1;12a0;;7a0
19;WHU;West Ham United;11h0;3a1;18a3;14h3;2a1;12h3;4a1;7h0;8a0;15h1;13h0;5a0;17h0;6a3;20a0;1h0;16a3;10h0;7a0;9h0;4h3;15a0;8h1;9a0;3h1;11a0;10a0;16h3;1a0
20;WOL;Wolverhampton Wanderers;9a1;12h1;5h1;8a0;6h0;7a1;18h3;11a3;16h1;13a1;1a1;2h3;4a3;15h1;19h3;3a1;17h0;14a3;11h3;10a0;18a0;13h1;16a3;10h0;12a1;9h1;14h3;17a3;3h1
