;Tournament table
FMJD WORLD CUP***** Ouagadougou Open 2022
Place;S.No.;Title;Name;Fed.;FMJD;R1;R2;R3;R4;R5;R6;R7;R8;R9;Total;SSolk
1;2;GMI;Ndjofang, Jean Marc;CMR;A 2339;68b2;20w1;6b1;29w2;10b2;7w2;3b1;4w2;2b1;14;92
2;3;MF;Nga, Landry;CMR;A 2294;39w2;54b2;10w2;12b1;4w1;3b1;5w1;13b2;1w1;13;93
3;7;MI;Ano Adonis, Denos Joachim;CIV;A 2254;15w2;25b2;4b1;7w1;44b2;2w1;1w1;5b1;8b1;12;96
4;1;GMI;Atse, N'cho Joel;CIV;A 2367;51w2;14b2;3w1;32w2;2b1;5b1;7w2;1b0;9w1;12;95
5;16;MF;Bobkov, Yurii;UKR;A 2190;13b1;30w1;67b2;20b2;12w2;4w1;2b1;3w1;6w1;12;90
6;5;MI;Aman, Ehiere Eugene;CIV;A 2283;16w1;41b2;1w1;9b1;8w0;33b2;44w2;15w2;5b1;12;90
7;6;MF;Beugre, Edmond Antoine;CIV;A 2271;26b2;57w2;12b1;3b1;14w2;1b0;4b0;45w2;22w2;12;88
8;10;;Coulibaly, Moussa;MLI;A 2227;27b1;45w1;48b2;11w1;6b2;31w1;15b1;16b2;3w1;12;85
9;9;;Bedia Guy, Serges Olivier;CIV;A 2236;45w1;49b2;20w1;6w1;17b1;12b1;46w2;14b2;4b1;12;83
10;11;MF;Fofana, Ladji;CIV;B 2227;37w2;35b2;2b0;63w1;1w0;55b2;32w2;12b1;25w2;12;82
11;12;MI;Mariko, Mamoutou;MLI;A 2217;47b2;52w1;17b1;8b1;32w1;21w2;13b1;18w1;24b2;12;82
12;13;MF;Aka, Kpangni Jacques;CIV;A 2207;24w2;33b2;7w1;2w1;5b0;9w1;31b2;10w1;18b1;11;91
13;50;;Yigo, Mahamadi;BFA;A 2045;5w1;34w1;40b2;23b1;19w2;15b1;11w1;2w0;30b2;11;87
14;14;;Tieba, Marc;BFA;A 2204;23b2;4w0;52b2;21w2;7b0;24w1;30b2;9w0;32b2;11;84
15;41;;Sawadogo, Aboubacar;BFA;B 2076;3b0;64w2;16b1;41w2;56b2;13w1;8w1;6b0;39b2;11;83
16;39;;Kiema, Sayouba;BFA;A 2084;6b1;22b1;15w1;33b1;37w2;42b2;24b1;8w0;31w2;11;82
17;15;;Dah, Sansan;BFA;B 2200;30w1;27b2;11w1;31w1;9w1;32b1;18b0;52w2;36b2;11;81
18;22;;Yarou, Youssouf;BEN;A 2100;60b1;53w2;44b1;22b1;23w1;36b1;17w2;11b1;12w1;11;78
19;21;;Poda, Harold;BFA;B 2105;53w1;66b0;49w2;52b2;13b0;35w2;21b0;47w2;29w2;11;69
20;17;;Ilboudo, Maxime;BFA;A 2153;28w2;1b1;9b1;5w0;33w1;63b2;45b1;31w1;23w1;10;84
21;53;;Kouanda, Mahamoudou;BFA;B 2012;34b1;29b1;54w2;14b0;25w2;11b0;19w2;36w1;28b1;10;81
22;8;MI;Lognon, Oscar;FRA;A 2243;49b1;16w1;30b2;18w1;31b0;61w2;26b2;24w1;7b0;10;80
23;48;;Arkhangelskaya, Anastasiya;RDF;A 2048;14w0;51b2;61b2;13w1;18b1;44w1;36b1;28w1;20b1;10;78
24;47;;Amadou, Oumar;BFA;B 2053;12b0;50b1;65w2;34w2;63b2;14b1;16w1;22b1;11w0;10;77
25;34;;Akande, Ayorinde Bamidele;NGR;A 2100;64b2;3w0;29w0;62b2;21b0;60w2;37w2;34b2;10b0;10;73
26;40;;Zabre, Ibrahim;BFA;C 2079;7w0;58b0;64w2;43b2;41b2;29w1;22w0;35b1;45b2;10;73
27;44;;Rapatamnaba, Alphonse;BFA;B 2065;8w1;17w0;47b1;46b0;65w2;58w1;33b1;60w2;44b2;10;69
28;51;;Domboue, Elie;BFA;B 2024;20b0;68w2;34b1;35w1;55b1;66w2;29b1;23b1;21w1;10;68
29;20;;Ouedraogo, Jerome;BFA;A 2117;66b1;21w1;25b2;1b0;54w2;26b1;28w1;39w1;19b0;9;81
30;49;;Kam, Mickael;BFA;A 2047;17b1;5b1;22w0;38b1;50w2;52b2;14w0;46b2;13w0;9;80
31;4;GMI;Samb, Ndiaga;SEN;A 2291;41b1;63w2;66w1;17b1;22w2;8b1;12w0;20b1;16b0;9;79
32;30;;Sawadogo, Daouda Rco;BFA;A 2100;56b1;59w2;60w2;4b0;11b1;17w1;10b0;54w2;14w0;9;79
33;63;;Ouedraogo, Ousmane;BFA; ;65b2;12w0;42b1;16w1;20b1;6w0;27w1;61b2;34w1;9;78
34;19;;Sawadogo, Oumarou;BFA;B 2120;21w1;13b1;28w1;24b0;57w2;38w2;39b1;25w0;33b1;9;78
35;52;;Ouedraogo, Abdoulaye;BFA;A 2024;46w2;10w0;36b1;28b1;61w1;19b0;42w2;26w1;38b1;9;78
36;28;;Korogo, Alassane;BFA;A 2100;59b1;48w1;35w1;37b1;60b2;18w1;23w1;21b1;17w0;9;75
37;45;;Nombre, Alexandre;BFA;A 2065;10b0;62w2;45b1;36w1;16b0;53w2;25b0;40w1;50b2;9;74
38;23;;Kola, Stéphane;CAR;A 2100;42w1;60b0;46b1;30w1;43w2;34b0;48w2;44b1;35w1;9;69
39;37;;Tiguera, Issa;BFA;A 2098;2b0;40w0;68b2;57w1;67b2;56w2;34w1;29b1;15w0;9;68
40;58;;Ganame, Adjaratou;BFA;B 1923;54w0;39b2;13w0;48b0;47w0;49w2;62b2;37b1;56w2;9;67
41;38;;Compaore, Seni;BFA;A 2090;31w1;6w0;58b2;15b0;26w0;64b0;65w2;63b2;53w2;9;66
42;57;;Sanon, Florent;BFA;B 1947;38b1;55b1;33w1;60w1;66b2;16w0;35b0;53b1;52w2;9;65
43;60;;Zabre, Jacques;BFA;B 1898;55w1;44w0;53b1;26w0;38b0;59w2;57b1;58b2;54w2;9;62
44;27;;Tiemtore, Adama;BFA;A 2100;48w1;43b2;18w1;66b2;3w0;23b1;6b0;38w1;27w0;8;81
45;43;;Yugo, Mahamoudou (66);BFA;A 2067;9b1;8b1;37w1;55w1;53b2;46b1;20w1;7b0;26w0;8;80
46;18;;Sanou, Serges;BFA;B 2129;35b0;67b1;38w1;27w2;48b2;45w1;9b0;30w0;47b1;8;73
47;46;;Sawadogo, Guibrine;BFA;A 2065;11w0;65w1;27w1;53b0;40b2;57b1;56w2;19b0;46w1;8;71
48;61;CMFF;Negbre, Biagne Elsa;CIV;B 1888;44b1;36b1;8w0;40w2;46w0;54b1;38b0;49b1;61w2;8;70
49;42;;Kabore, Hamado;BFA;A 2076;22w1;9w0;19b0;59w2;52w0;40b0;67b2;48w1;60b2;8;70
50;32;;Ngaiganazoui, Gervais;CAR;A 2100;63b0;24w1;59b2;56w0;30b0;51w1;66w2;55b2;37w0;8;62
51;35;;Ouedraogo, Aboubacar;BFA;A 2100;4b0;23w0;62b0;65b1;68w2;50b1;53w0;64w2;63b2;8;58
52;59;;Koula, Kassoum;BFA;B 1901;62b2;11b1;14w0;19w0;49b2;30w0;64b2;17b0;42b0;7;77
53;55;;Ilboudo, Djaffar;BFA;B 2003;19b1;18b0;43w1;47w2;45w0;37b0;51b2;42w1;41b0;7;74
54;24;;Porgo, Bassirou;BFA;A 2100;40b2;2w0;21b0;67w2;29b0;48w1;63w2;32b0;43b0;7;72
55;26;;Kouraogo, Ablasse;BFA;A 2100;43b1;42w1;56w1;45b1;28w1;10w0;61b1;50w0;59b1;7;70
56;64;;Sana, Souleymane;BFA; ;32w1;61w1;55b1;50b2;15w0;39b0;47b0;57w2;40b0;7;68
57;33;;Kouanda, Oumar;BFA;A 2100;58w2;7b0;63w0;39b1;34b0;47w1;43w1;56b0;65b2;7;66
58;67;;Toure, Fawaz;BFA; ;57b0;26w2;41w0;61b0;62w2;27b1;60b0;43w0;64b2;7;63
59;62;;Dipama, Edouard;BFA;B 1833;36w1;32b0;50w0;49b0;64w1;43b0;68w2;62b2;55w1;7;61
60;56;;Ilboudo, Saidou;BFA;B 1958;18w1;38w2;32b0;42b1;36w0;25b0;58w2;27b0;49w0;6;75
61;31;;Sawadogo, Noufou;BFA;A 2100;67w1;56b1;23w0;58w2;35b1;22b0;55w1;33w0;48b0;6;67
62;25;;Kabore, Adeline;BFA;A 2100;52w0;37b0;51w2;25w0;58b0;68b2;40w0;59w0;66b2;6;61
63;66;;Gouba, Deo Gracias;BFA; ;50w2;31b0;57b2;10b1;24w0;20w0;54b0;41w0;51w0;5;73
64;68;;Zomodo, Emmanuel;BFA; ;25w0;15b0;26b0;68w2;59b1;41w2;52w0;51b0;58w0;5;69
65;29;;Dieni, Afdal;BFA;A 2100;33w0;47b1;24b0;51w1;27b0;67w1;41b0;68b2;57w0;5;64
66;54;;Kirakeri, Ousmane;BFA;B 2009;29w1;19w2;31b1;44w0;42w0;28b0;50b0;67w-;62w0;4;70
67;65;;Sibone, Paul;BFA; ;61b1;46w1;5w0;54b0;39w0;65b1;49w0;66b-;68b-;3;59
68;36;;Nana, Issa;BFA;A 2100;1w0;28b0;39w0;64b0;51b0;62w0;59b0;65w0;67w-;0;64