From the Tournament-Database of Chess-Results http://chess-results.com;;;;;;;;;;;;;;;;;;
Moscow Open 2018_A ;;;;;;;;;;;;;;;;;;
Rk.;;Name;Rtg;FED;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;Pts. ;TB1;TB2;TB3;TB4
1;IM;Lomasov Semen ;2530;RUS;161w1;100b1; 22w½; 46b½; 42w1; 44b1; 18w1;  2b1;  6w1;8;50;46,5;0;44,25
2;GM;Nabaty Tamir ;2658;ISR;169b1; 48w1; 18b1; 42w1; 17b½; 43w1;  9b1;  1w0;  8w1;7,5;52,5;49;0;41,5
3;IM;Vavulin Maksim ;2575;RUS;102w1; 39b1;  6w1;  9b0; 11w½; 16b1; 15w1; 10b½; 19w1;7;55,5;51;0;42,5
4;FM;Afanasiev Nikita ;2364;RUS;166b1; 14w1; 92w½; 13b1; 23w½; 25b1; 19w1;  8b0; 21w1;7;51,5;47,5;0;40,25
5;GM;Timofeev Artyom ;2563;RUS;103b1; 69w½; 73w1; 22b½; 28w½; 58b½;128w1; 44b1; 18w1;7;46,5;42,5;0;35,5
6;FM;Samusenko Maksim ;2422;RUS;124b1; 64w1;  3b0; 66w1;127b1;  7w1; 14b½; 17w1;  1b0;6,5;52;48;0;33,75
7;GM;Mozharov Mikhail ;2539;RUS;109w1; 53b½; 58w1; 34b1;  9w½;  6b0; 54w1; 22b1; 11w½;6,5;52;47,5;0;36,25
8;IM;Zakhartsov Vladimir ;2472;RUS;114w1; 45b½; 65w1; 29b0;198w+; 76w1; 43b1;  4w1;  2b0;6,5;50,5;46;0;32
9;IM;Shukh Nikolai ;2435;RUS;208b1;135w1; 50b1;  3w1;  7b½; 17w1;  2w0; 21b0; 42w1;6,5;50;48;0;33,25
10;GM;Kokarev Dmitry ;2616;RUS; 97b½;105w1; 69b1; 12w½; 32b½; 59w1; 62b1;  3w½; 13b½;6,5;49,5;45;0;34,25
11;GM;Harutjunyan Gevorg ;2407;ARM;158w1; 95b1; 20w½; 57b½;  3b½;122w1; 36b1; 14w½;  7b½;6,5;49;45,5;0;33,5
12;FM;Fakhrutdinov Timur ;2417;RUS;167w1;201b1; 57w½; 10b½; 74w1; 23b½; 21w½; 20b½; 47w1;6,5;47,5;44;0;32,75
13;IM;Khegay Dmitriy ;2495;RUS;156b1; 26w½;214b1;  4w0; 49b½; 50w1; 60w1; 58b1; 10w½;6,5;47;43,5;0;31
14;GM;Matinian Nikita ;2491;RUS;131w1;  4b0;173w1;110b1; 60w1; 93b1;  6w½; 11b½; 17w½;6,5;47;43,5;0;30,5
15;IM;Sindarov Javokhir ;2429;UZB;155b1;142w1; 43b½; 94w1; 29b½; 24w½;  3b0; 96w1; 45b1;6,5;46;42,5;0;30,25
16;FM;Yeletsky Ivan ;2406;RUS;133b1;143w1; 17b0;122w½;115b1;  3w0; 97b1; 94w1; 43b1;6,5;44;40;0;29
17;GM;Savchenko Boris ;2566;RUS; 70w1;128b1; 16w1; 60b1;  2w½;  9b0; 52w1;  6b0; 14b½;6;52,5;48,5;0;32,5
18;FM;Gaifullin Artur ;2423;RUS;172w1;123b1;  2w0; 67b1; 63w1; 57b1;  1b0; 24w1;  5b0;6;52;48,5;0;29,5
19;;Drygalov Andrey ;2440;RUS;132b1; 24w½; 49b1; 62w½; 72b1; 29w1;  4b0; 32w1;  3b0;6;51,5;47,5;0;32
20;IM;Tsydypov Zhamsaran ;2523;RUS; 38b1; 84w1; 11b½; 76w1; 43b0; 34w½; 48b1; 12w½; 40b½;6;51,5;46,5;0;33,5
21;GM;Boruchovsky Avital ;2542;ISR;115b1; 81w½; 26b0;112w1; 65b1; 28w1; 12b½;  9w1;  4b0;6;51;46,5;0;32,25
22;IM;Vokhidov Shamsiddin ;2401;UZB;125b1;127w1;  1b½;  5w½; 27b½; 30w½; 59b1;  7w0; 64b1;6;50,5;47;0;30,5
23;IM;Bocharov Ivan ;2534;RUS; 96b½; 97w1; 81b1;108w1;  4b½; 12w½; 32b½; 34w½; 26b½;6;50,5;46,5;0;32,75
24;WGM;Mammadzada Gunay ;2333;AZE;148w1; 19b½; 44w½; 71b1; 31w1; 15b½; 57w½; 18b0; 77w1;6;49;45;0;31,75
25;GM;Ladva Ottomar ;2522;EST;134w1; 42b0; 38w1; 79b1; 46w1;  4w0; 26b½;110b1; 34w½;6;49;45;0;30,5
26;FM;Palachev Petr ;2370;RUS;216w1; 13b½; 21w1; 92b½; 30b½; 27w½; 25w½; 70b1; 23w½;6;47,5;46;0;30
27;GM;Levin Evgeny A. ;2545;RUS;147w1; 73b½; 53w1; 28b½; 22w½; 26b½; 58w0; 79b1; 88w1;6;47,5;43,5;0,5;31
28;FM;Kardashevskiy Evgeny ;2400;RUS;126w1; 47b½; 75w1; 27w½;  5b½; 21b0; 95w½;102b1; 61w1;6;47,5;43,5;0,5;30
29;FM;Bryakin Mikhail ;2349;RUS;157b½;190w1; 51b1;  8w1; 15w½; 19b0; 35w½; 92b1; 37w½;6;47;44;0;30
30;FM;Sorokin Aleksey ;2511;RUS;130w1; 65b½; 40w½; 89b1; 26w½; 22b½; 42w0; 93b1; 58w1;6;47;43;0;30
31;IM;Golubov Saveliy ;2484;RUS;154w1; 60b-;156b1; 50w1; 24b0; 49w1; 45b½; 42b½; 87w1;6;46;42,5;0;31,75
32;;Drygalov Sergey ;2412;RUS; 61w½;159b1; 86w½;113b1; 10w½;123b1; 23w½; 19b0; 63w1;6;46;42,5;0;29
33;IM;Kozionov Kirill ;2423;RUS; 41b1; 85w1; 72b½; 43w0;104b1; 62w0; 64b½; 66w1; 60b1;6;46;41,5;0;30,5
34;IM;Korchmar Vasiliy ;2399;RUS;162w1;184b½; 47w1;  7w0;124b1; 20b½; 93w1; 23b½; 25b½;6;45;42;0;28
35;IM;Khanin Semen ;2458;RUS;199b1; 43w0;132b1; 82w½; 94b1; 45w½; 29b½; 62w1; 38b½;6;44,5;41;0;28
36;IM;Lobanov Sergei ;2450;RUS;101w1; 79b½;198w1; 93b½;123w½; 96b1; 11w0; 63b½; 67w1;6;44,5;40,5;0;28,25
37;IM;Iljiushenok Ilia ;2512;RUS;173b1;111w1; 42b0; 72w½; 45b0;103w1;126w1; 75b1; 29b½;6;44;40,5;0;27,5
38;FM;Murzin Volodar ;2268;RUS; 20w0;153b1; 25b0;152w½;184b1;116w1;111b+; 68b1; 35w½;6;43;40;0;23,75
39;FM;Sanzhaev Darsen ;2397;RUS;118b1;  3w0;124b½; 98w½;137b½;112w1;122b1; 41w½; 59w1;6;43;39;0;26,75
40;FM;Nigmatov Ortik ;2361;UZB;190b½;129w1; 30b½;183w0;164b1;105w1; 92w½;101b1; 20w½;6;41,5;38,5;0;26,25
41;;Golikov Daniil ;2220;RUS; 33w0;165b½;202w1; 68b0;178w1;201b1; 56w1; 39b½; 91w1;6;41,5;38,5;0;25,75
42;FM;Schekachikhin Maksim ;2371;RUS;187b1; 25w1; 37w1;  2b0;  1b0; 99w1; 30b1; 31w½;  9b0;5,5;53,5;50,5;0;28,25
43;CM;Urazayev Arystanbek ;2346;KAZ;178w1; 35b1; 15w½; 33b1; 20w1;  2b0;  8w0; 52b1; 16w0;5,5;53,5;50;0;30,25
44;IM;Dvalishvili Pavel S. ;2413;RUS;122b½; 96w1; 24b½; 85w1;183b+;  1w0; 66b1;  5w0; 49b½;5,5;49,5;45,5;0;24,25
45;CM;Gukesh D ;2354;IND;192w1;  8w½;106b½;107b½; 37w1; 35b½; 31w½; 57b1; 15w0;5,5;48;45;0;27,75
46;IM;Kalashian David ;2397;ARM; 67w½; 99b1; 61w1;  1w½; 25b0; 47b½; 75w0;154b1; 95w1;5,5;47;43;0;26,75
47;FM;Davtyan Artur ;2308;ARM;151b1; 28w½; 34b0;129w½;171b1; 46w½; 80b1; 65w1; 12b0;5,5;45;41,5;0;24,75
48;FM;Murtazin Bulat ;2394;RUS; 78w1;  2b0;130w1;158b1; 57w0;139b1; 20w0; 95b½;104w1;5,5;44,5;41;0;23,75
49;FM;Skatchkov Valery ;2351;RUS;160w½;191b1; 19w0;140b1; 13w½; 31b0;159w1; 74b1; 44w½;5,5;43,5;40,5;0;23,5
50;IM;Tran Minh Thang ;2359;VIE;146w1;107b1;  9w0; 31b0;159w1; 13b0;172w½;160b1; 92w1;5,5;43,5;40;0;22,25
51;GM;Baghdasaryan Vahe ;2436;ARM;113w1; 93b½; 29w0;131b1; 95w½; 75b½; 63w0;134b1;111w1;5,5;42,5;38,5;0;24,5
52;GM;Ushenina Anna ;2423;UKR;186b1; 94w½; 62b0;199w1; 64b1; 82w1; 17b0; 43w0; 97b1;5,5;42;39;0;23,25
53;FM;Tekeyev Zaur ;2380;RUS;189b1;  7w½; 27b0;124w0;125b½;136w½;133b1;115w1; 96b1;5,5;39,5;36,5;0;22,5
54;;Beletsky Alexey ;2374;RUS;117b0;162w1;136b½; 99w½;155b1; 72w1;  7b0; 98b½;101w1;5,5;39,5;36;0;22,75
55;IM;Kukhmazov Arsen ;2404;RUS; 99w½; 61b0;193w1;114b½;154w½;134b½;109w½;172b1;110w1;5,5;37;34;0;21,5
56;;Sattarov Bobir ;2381;UZB;184b0;126w½;163b0;149b1;193w1;199w1; 41b0;103w1; 94b1;5,5;36;33;0;21,5
57;GM;Frolyanov Dmitry ;2567;RUS;218b1;119w1; 12b½; 11w½; 48b1; 18w0; 24b½; 45w0; 65b½;5;48,5;45,5;0;25
58;FM;Muradli Mahammad ;2376;AZE;129b½;170w1;  7b0;136w1;133b1;  5w½; 27b1; 13w0; 30b0;5;47,5;44;0;23
59;;Rakshitta Ravi ;1881;IND; 75w½; 87b1; 88w½;128b1; 83w1; 10b0; 22w0; 90b+; 39b0;5;47;43;0;21,25
60;FM;Malyshev Grigory ;2364;RUS;177b1; 31w+; 71w1; 17w0; 14b0;127w1; 13b0;126b1; 33w0;5;46;42,5;0;18,75
61;;Taalaibekov Tagir ;2205;KGZ; 32b½; 55w1; 46b0; 84w1; 73b½; 69w½;135b½;144w1; 28b0;5;46;42;0;24,5
62;;Li Hong ;2349;CHN;191w½;202b1; 52w1; 19b½; 92w½; 33b1; 10w0; 35b0; 83w½;5;45,5;42,5;0;23,75
63;;Lesovoi Evgenij ;2312;RUS;217w1; 68b½;200w½; 77b1; 18b0; 80w½; 51b1; 36w½; 32b0;5;44,5;43,5;0;22
64;FM;Sakulo Denis ;2323;RUS;149w1;  6b0;192w½;138b1; 52w0; 78b1; 33w½;128b1; 22w0;5;44,5;41,5;0;22
65;FM;Karpenko Artem ;2370;RUS;152b1; 30w½;  8b0;163w1; 21w0;113b1;130w1; 47b0; 57w½;5;44,5;41;0;21,5
66;FM;Sawlin Leonid ;2343;GER; 74w1; 71b0;167w1;  6b0;158w1; 83b1; 44w0; 33b0;141w1;5;43,5;40;0;21
67;;Korennoi Viktor ;2269;RUS; 46b½;183w½;215b1; 18w0;116b½; 77b½;185w1;100w1; 36b0;5;42,5;41;0;20,25
68;FM;Nozdrachev Leonid ;2410;RUS;136b1; 63w½; 94b0; 41w1;122b0;156w1;104b1; 38w0; 82b½;5;42,5;39;0;23,5
69;;Salemgareev Tagir ;2381;RUS;145w1;  5b½; 10w0;101b1;139w½; 61b½; 96w0;125b½;130w1;5;42,5;39;0;22,25
70;FM;Shubin Kirill ;2299;RUS; 17b0;168w1;157b½;117w1;108b0;133w1; 76b1; 26w0; 73b½;5;42,5;39;0;20,75
71;IM;Ivanov Oleg V ;2450;UKR;213b1; 66w1; 60b0; 24w0; 78w1; 95b½;123w½; 87b0; 98w1;5;42;39,5;0;21,75
72;WFM;Balajayeva Khanim ;2319;AZE;209w1; 83b1; 33w½; 37b½; 19w0; 54b0;160w½;151b½;128w1;5;42;39,5;0;21
73;FM;Geivondian Arman ;2380;RUS;174w1; 27w½;  5b0;188b1; 61w½;126b0;134w½;140b1; 70w½;5;42;39;0;21
74;;Shoboev Dandar ;1982;RUS; 66b0;208w1;103b1;100w1; 12b0;111w½;106b½; 49w0;135b1;5;41,5;39,5;0;19,75
75;FM;Avalyan Artur ;2319;RUS; 59b½;219w1; 28b0;184w1; 80b½; 51w½; 46b1; 37w0; 76b½;5;41;40,5;0;19
76;GM;Naumkin Igor ;2394;RUS;193w½;121b1;184w1; 20b0;109w1;  8b0; 70w0;167b1; 75w½;5;40,5;37,5;0;19,5
77;IM;Yuferov Sergey N ;2412;RUS; 98b½;122w½;186b1; 63w0;103b½; 67w½;132b1;135w1; 24b0;5;40;37;0;20
78;;Ivanov Platon-Jaan ;2169;EST; 48b0;104w½;169b1;214w1; 71b0; 64w0; 84b½;155w1;144b1;5;40;36,5;0;19,5
79;;Saydaliev Saidakbar ;2349;UZB;212b1; 36w½;185b½; 25w0; 98b½;186w½; 99b1; 27w0;147b1;5;39,5;37,5;0;18,75
80;IM;Faizrakhmanov Ramil ;2423;RUS;203w1; 86b½;110w½; 95b½; 75w½; 63b½; 47w0;130b½;131w1;5;39,5;37;0;20,25
81;IM;Saiyn Zhanat ;2377;KAZ;180w1; 21b½; 23w0;159b½;113w½;131b½;154w½;138b½;125w1;5;39,5;36;0;20,25
82;FM;Sirosh Ilja ;2348;EST;202w½;160b½;203w1; 35b½;107w1; 52b0;101w0;148b1; 68w½;5;38,5;36;0;19,75
83;FM;Zakaryan David ;2420;RUS;164b1; 72w0;155b1;142w1; 59b0; 66w0;137b½;122w1; 62b½;5;38,5;35;0;19,5
84;;Saveliev Alexei ;2373;RUS;205w1; 20b0;114w½; 61b0;176w1;101b0; 78w½;162b1;126w1;5;38;35,5;0;17,75
85;;Bykov Oleg ;2327;RUS;179w1; 33b0;176w1; 44b0;162w1;128b0;143w1; 91b0;151w1;5;37,5;34,5;0;17,5
86;FM;Demianjuk Alexander ;2333;RUS;194b1; 80w½; 32b½;106w0;105b0;125w½;189b½;127w1;146b+;5;37;34,5;0;17,25
87;FM;Pogosyan Stefan ;2312;RUS;215b½; 59w0;170b0;187w1;118b1;124w½;127b1; 71w1; 31b0;5;36,5;35;0;19,25
88;FM;Assaubayeva Bibisara ;2381;RUS;170b½;163w1; 59b½;127w0;132b½;137w½;186b1;147w1; 27b0;5;36,5;33,5;0;18,5
89;IM;Guerrero Sierra Juan Carlos ;2343;COL;195b½;157w½;125b1; 30w0; 99b0;129w½;184b1;112w½;138w1;5;36;33;0;18,5
90;FM;Cherepanov Vladislav ;2355;RUS;105b0;206w1;133b0;125w½;163b1;132w½;124b1; 59w-;153w1;5;35,5;33;0;20,5
91;GM;Yagupov Igor ;2394;RUS;127b0;125w0;219b1;166w½;136b½;168w1;155b1; 85w1; 41b0;5;34;33,5;0;16,5
92;IM;Belyakov Bogdan ;2486;RUS;137b1;144w1;  4b½; 26w½; 62b½;108w½; 40b½; 29w0; 50b0;4,5;49;45;0;22,75
93;FM;Bykov Egor ;2346;RUS;171b1; 51w½;116b1; 36w½;106b1; 14w0; 34b0; 30w0;112b½;4,5;47;43,5;0;20,5
94;FM;Erdenepurev Boldoo ;2328;MGL;165w1; 52b½; 68w1; 15b0; 35w0;167b1;107w1; 16b0; 56w0;4,5;46,5;43;0;19,25
95;FM;Smirnov Timofey ;2324;RUS;204b1; 11w0;105b1; 80w½; 51b½; 71w½; 28b½; 48w½; 46b0;4,5;46;43,5;0;20,5
96;;Hakobyan Hovhannes H. ;2270;ARM; 23w½; 44b0;121w1;207b1;200w+; 36w0; 69b1; 15b0; 53w0;4,5;45,5;43;0;17,25
97;FM;Rodchenkov Vitaly ;2304;RUS; 10w½; 23b0;145w½;176b½;140w1;165b1; 16w0;107b1; 52w0;4,5;44;41;0;19,25
98;;Kavyev Ruslan ;2211;RUS; 77w½;200b0;165w1; 39b½; 79w½;102b½;142b1; 54w½; 71b0;4,5;43,5;40;0;20,5
99;;Ganerdene Sugar ;2196;MGL; 55b½; 46w0;220b+; 54b½; 89w1; 42b0; 79w0;119w½;169b1;4,5;43,5;40;0;18
100;;Mukhutdinov Tigran ;2376;RUS;153w1;  1w0;166b1; 74b0;120w½;154b½;131w1; 67b0;113w½;4,5;43;39;0;18,5
101;;Fitiak Sergey ;2247;RUS; 36b0;171w½;190b1; 69w0;175b1; 84w1; 82b1; 40w0; 54b0;4,5;42,5;39,5;0;18,25
102;FM;Uraev Ivan ;2304;RUS;  3b0;118w0;177b1;145w1;185b½; 98w½;105b1; 28w0;106b½;4,5;42,5;39;0;18,5
103;FM;Nazaretyan Tigran ;2285;RUS;  5w0;174b1; 74w0;205b1; 77w½; 37b0;145w1; 56b0;168w1;4,5;42;39,5;0;16
104;FM;Yeritsyan Aram ;2309;RUS;0; 78b½;181w1;141b1; 33w0;174b1; 68w0;114w1; 48b0;4,5;42;38,5;0;20,5
105;;Perov German ;2069;RUS; 90w1; 10b0; 95w0;173b1; 86w1; 40b0;102w0;164w½;156b1;4,5;42;38,5;0;18,75
106;IM;Shinkevich Vitaly ;2454;RUS;139w1;198b½; 45w½; 86b1; 93w0;110b0; 74w½;109b½;102w½;4,5;42;38;0;20,75
107;IM;Usmanov Vasily ;2472;RUS;112b1; 50w0;137b1; 45w½; 82b0;115w1; 94b0; 97w0;164b1;4,5;41,5;38;0;19,25
108;IM;Gorbatov Alexej ;2397;RUS;206w1;117b½;188w1; 23b0; 70w1; 92b½;110w½;0;0;4,5;41;38,5;0;22,75
109;FM;Konaplev Anton ;2276;RUS;  7b0;140w½;189b1;157w1; 76b0;185w½; 55b½;106w½;116b½;4,5;41;38;0;18
